name,row,frames,opaque_height_min,opaque_height_max,opaque_height_average,bottom_min,bottom_max,bottom_average
player,0,8,231,239,235.12,237,249,241.12
player,1,8,228,241,234.62,232,249,240.38
player,2,8,235,244,240.12,240,248,246.38
player,3,8,228,244,236.25,236,248,241.50
player,4,8,236,239,237.50,246,250,247.88
player,5,8,228,244,236.25,236,248,241.50
player,6,8,235,244,240.12,240,248,246.38
player,7,8,228,241,234.62,232,249,240.38
butler,0,8,42,45,43.50,56,56,56.00
butler,1,8,43,45,44.00,56,56,56.00
butler,2,8,45,46,45.50,57,57,57.00
butler,3,8,41,46,44.00,55,57,56.12
butler,4,8,43,46,44.88,57,57,57.00
butler,5,8,41,46,44.00,55,57,56.12
butler,6,8,45,46,45.50,57,57,57.00
butler,7,8,43,45,44.00,56,56,56.00
guardian,0,8,95,98,96.50,132,136,134.00
guardian,1,8,90,98,93.75,128,136,131.00
guardian,2,8,95,98,96.12,134,135,134.62
guardian,3,8,97,103,100.12,126,133,129.62
guardian,4,8,98,100,99.00,129,134,131.75
guardian,5,8,97,103,100.12,126,133,129.62
guardian,6,8,95,98,96.12,134,135,134.62
guardian,7,8,90,98,93.75,128,136,131.00
gardener,0,4,211,216,213.75,245,249,248.00
gardener,1,4,206,208,207.25,235,236,235.50
gardener,2,4,208,241,216.50,224,256,232.25
gardener,3,4,203,208,206.25,203,210,207.50
mechanic,0,4,221,221,221.00,253,253,253.00
mechanic,1,4,212,213,212.25,235,235,235.00
mechanic,2,4,211,211,211.00,224,224,224.00
mechanic,3,4,213,214,213.50,214,214,214.00
dr_lin_echo,0,4,210,213,211.75,248,251,249.75
dr_lin_echo,1,4,199,199,199.00,227,227,227.00
dr_lin_echo,2,4,240,240,240.00,256,256,256.00
dr_lin_echo,3,4,196,198,197.50,196,198,197.50
mrs_lin_fallen,0,1,742,742,742.00,935,935,935.00
